Value Date (Entry Date),Account Holder Name,Account ID,Amount,Fees Amount,Channel,Identifier,Mobile Phone (Client),Branch Name
2025-10-01 00:08:28,Jacinto Lakeisha Medhurst,IUWZ377,45000.0,0,Airtel Disbursement Account,deeea1de-58b9-4317-8157-0972fa49c52f,256 701125104,Personal DEV
2025-10-01 12:08:57,Carmen Micheal Mosciski,WOTE131,45000.0,0,MTN Disbursement Account,a4743027-09c7-4d5a-beb5-9693fe5f9dbb,256 753644850,Personal DEV
2025-10-01 13:52:10,BRUNO KABAZAMU  Tusiime,KFAW425,400000.0,0,Airtel Disbursement Account,6882c9ab-bdec-4894-b4c9-91614ef02d80,256 752228993,FIDO Uganda Main
2025-10-02 00:07:42,Bud Jonah Lockman,GCMP997,45000.0,0,Airtel Disbursement Account,a5767557-8e05-4877-9117-7922733f4fff,256 761736770,Personal DEV
2025-10-02 12:08:59,Warner Shemeka Lakin,HSXW031,45000.0,0,MTN Disbursement Account,78b2f3ed-1ab7-44b9-a224-9816e3af52e9,256 766033902,Personal DEV
2025-10-03 00:08:03,Shirleen Willis Nicolas,VUUX618,45000.0,0,Airtel Disbursement Account,2d78fb98-9e30-4125-9324-23258201dd51,256 748335891,Personal DEV
2025-10-03 12:08:39,Norberto Lanette Hackett,ISZX511,45000.0,0,MTN Disbursement Account,dcdc111a-6e35-4b33-ae6d-4b71437ba973,256 743195426,Personal DEV
2025-10-06 12:11:38,Moises Jamel Wiegand,NFKJ390,45000.0,0,Airtel Disbursement Account,1bfdac26-239e-4e15-b6e3-80196746f08d,256 764066725,Personal DEV
2025-10-06 13:17:00,Josue Glen Gulgowski,BSUM683,45000.0,0,MTN Disbursement Account,7abec2ed-85b4-4eac-9272-560ee9470343,256 775275824,Personal DEV
2025-10-06 15:42:48,Randa Lucien Goyette,OYEI300,45000.0,0,MTN Disbursement Account,7529f244-56ef-460e-afce-45db5afdd8c4,256 773100168,Personal DEV
2025-10-06 18:41:47,Shawnta Delbert Abshire,YQCN791,45000.0,0,Airtel Disbursement Account,cf9075cf-1481-4203-8589-bbafd24cc421,256 747617614,Personal DEV
2025-10-07 00:07:39,Xochitl Trinity Stanton,AJGX992,45000.0,0,Airtel Disbursement Account,d0d06970-38b3-4380-b96d-030d4afbff3e,256 753145286,Personal DEV
2025-10-07 12:08:35,Isaiah Jc McCullough,CPJJ860,45000.0,0,Airtel Disbursement Account,3e69454d-48e1-4a9b-986e-12c1027b65b5,256 753438578,Personal DEV
2025-10-08 00:07:34,Shawn Delbert Tillman,IONK770,45000.0,0,Airtel Disbursement Account,6372ac42-77fd-4290-8596-3ace7d7a4f6f,256 787607138,Personal DEV
2025-10-08 12:09:23,Marcelo Elvin Rohan,AXAZ637,45000.0,0,MTN Disbursement Account,5202ebe0-9dfa-41ea-94cc-5414ef622d2c,256 703940896,Personal DEV
2025-10-09 00:07:43,Doretta Mel Tremblay,GUGI082,45000.0,0,Airtel Disbursement Account,7de6033a-e720-4c58-9cdc-7d0943a5e142,256 772473785,Personal DEV
2025-10-09 12:17:48,Nohemi Raleigh Pfeffer,MSCT350,45000.0,0,Airtel Disbursement Account,5e661d2d-6be7-43ef-a1c7-5c2ddf92a732,256 760088970,Personal DEV
2025-10-09 15:32:20,Coreen Tawanna Connelly,KOUP658,45000.0,0,Airtel Disbursement Account,eec4338d-8aaa-4050-9b53-d3e3f79d7c60,256 700082590,Personal DEV
2025-10-10 00:07:43,Clarence Ivette Feeney,DOJS921,45000.0,0,MTN Disbursement Account,5718fd35-2b8e-4dbf-93dc-04fac3266f32,256 763032035,Personal DEV
2025-10-10 12:09:00,Shantae Mariana Thiel,AYYJ897,45000.0,0,MTN Disbursement Account,095945a2-eda1-4ec8-b9e3-4d028c080657,256 742870563,Personal DEV
2025-10-13 12:09:40,Lynwood Booker Davis,HLZE821,45000.0,0,MTN Disbursement Account,2c74d6f1-ead3-43b2-9a7e-a11323890577,256 766550549,Personal DEV
2025-10-13 12:13:05,Gussie Mohamed Kertzmann,TYCM664,45000.0,0,Airtel Disbursement Account,8ab23b93-5108-492f-83e4-2f8bbce7d538,256 701124267,Personal DEV
2025-10-13 12:18:50,Clara Gene Von,FWTU430,45000.0,0,Airtel Disbursement Account,f18e0031-58cd-4a9f-8f82-daf49657046a,256 770132923,Personal DEV
2025-10-13 12:24:21,Terry Myrtice McClure,VSZK921,45000.0,0,MTN Disbursement Account,74e6c02b-116d-47d7-90df-690d753e54b4,256 765651414,Personal DEV
2025-10-13 13:00:00,Javier Pat Senger,GQTJ830,45000.0,0,MTN Disbursement Account,2b216dd0-49e5-4feb-b816-2705b9105a71,256 788232499,Personal DEV
2025-10-13 16:07:11,Chad Homer Weissnat,ZVVN572,45000.0,0,Airtel Disbursement Account,72972537-cac4-4076-b7bb-8ffe8af9608e,256 784017996,Personal DEV
2025-10-14 00:07:56,Nida Jenell Rippin,PHQS182,45000.0,0,MTN Disbursement Account,713b68b6-4716-4d39-9416-9e3262522fde,256 749546415,Personal DEV
2025-10-14 12:09:12,Alfredo Tran McClure,WZCD107,45000.0,0,Airtel Disbursement Account,3fd6f6d5-3326-4e10-b8e7-f8bf6b91c8cf,256 705431763,Personal DEV
2025-10-15 00:08:13,Morris Jeffrey Schroeder,MFZD170,45000.0,0,MTN Disbursement Account,a2283116-c8e1-447e-9d64-72cc607324a3,256 761110114,Personal DEV
2025-10-16 18:52:53,Gerard Johana King,DHIW986,45000.0,0,Airtel Disbursement Account,ca39d89c-a80b-4e89-bf86-df151401ec25,256 740667041,Personal DEV
2025-10-17 00:12:21,Jessica Antwan Anderson,APPB739,45000.0,0,Airtel Disbursement Account,93c019e5-0c03-4c72-914a-8858f965fb10,256 771624823,Personal DEV
2025-10-17 12:16:04,Jasmin Barrett Aufderhar,XRSP646,45000.0,0,MTN Disbursement Account,1b06e298-d58f-4bc0-a2d8-69161197bfcc,256 756323633,Personal DEV
2025-10-20 12:13:54,Karl Sudie Dietrich,TEIF420,45000.0,0,Airtel Disbursement Account,9c0e2b7a-f514-4731-a982-28dd15e5af4b,256 777113879,Personal DEV
2025-10-20 13:59:40,Britta Emmitt Hickle,CPYR113,45000.0,0,Airtel Disbursement Account,8df86b04-99f4-44b9-9bf7-648a1ed54a08,256 771465434,Personal DEV
2025-10-20 15:45:03,Aurelio Millard Predovic,MNGY684,45000.0,0,MTN Disbursement Account,4781de2f-cc06-4a7b-b72e-66054e220d51,256 766068725,Personal DEV
